mesh_level,mesh_level_index,omega_rad_s,topology_mode,design_v2_canonical_sha256,design_v2_git_blob_id,design_v3_canonical_sha256,design_v3_git_blob_id,connector_gap_coefficient,component,panel_count,minimum_panel_area_m2,maximum_panel_area_m2,median_panel_area_m2,mean_sqrt_area_m,median_sqrt_area_m,minimum_edge_length_m,maximum_aspect_ratio,maximum_skewness_deg,minimum_corner_angle_deg,maximum_corner_angle_deg,maximum_warp_deg,poor_panel_count,poor_panel_fraction,finite_positive_geometry,duplicate_panel_count,component_gate_pass,component_gate_status,requested_near_radial_step_m,realized_near_radial_step_m,requested_outer_radial_step_max_m,realized_outer_radial_step_m,configured_outer_radial_layer_count,realized_outer_radial_layer_count,base_theta_count,final_wall_theta_count,requested_bottom_core_radial_layer_count,realized_bottom_core_radial_layer_count,bottom_core_structured_panel_count,top_connector_minimum_angle_deg,top_connector_maximum_aspect_ratio,bottom_connector_minimum_angle_deg,bottom_connector_maximum_aspect_ratio,transition_median_sqrt_area_m,manifold_status,orientation_status,waterline_status,self_intersection_status,actual_top_outer_radius_m,actual_bottom_outer_radius_m,combined_geometry_hash,production_source_hash,runtime_provenance,error_identifier,error_message
MESH_L1,1,0.5,QUALITY_CONTROLLED_V2,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,0.4,body,192,0.739049755021611,0.942747006482709,0.814004168309055,0.899901370359355,0.902189145691737,0.698109849247914,1.40403606215522,29.2527305045578,66.5620538048336,119.252730504558,7.58291583832407,0,0,1,0,1,PASS,3.74999999994608,3.74999999994608,31.3654849166758,29.9657185007645,2,11,32,64,4,4,192,37.5229803176458,1.63984393688748,37.5229803176458,1.63984393688748,22.5073621714976,PASS,PASS,PASS,PASS,689.245807016818,524.434355262614,7c4fb682565df9221968a1295bd1f8cba94899d92e72063b53d4dbb0b5885b2a,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,PASS_CURRENT_WORKTREE,,
MESH_L1,1,0.5,QUALITY_CONTROLLED_V2,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,0.4,free_surface,1280,5.02967236261267,1956.31295166354,1290.42989461355,31.995283669977,35.9192806292049,0.980171403034624,7.64297917957749,52.4770196823542,37.5229803176458,99.3290393445886,0,0,0,1,0,1,PASS,3.74999999994608,3.74999999994608,31.3654849166758,29.9657185007645,2,11,32,64,4,4,192,37.5229803176458,1.63984393688748,37.5229803176458,1.63984393688748,22.5073621714976,PASS,PASS,PASS,PASS,689.245807016818,524.434355262614,7c4fb682565df9221968a1295bd1f8cba94899d92e72063b53d4dbb0b5885b2a,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,PASS_CURRENT_WORKTREE,,
MESH_L1,1,0.5,QUALITY_CONTROLLED_V2,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,0.4,bottom,1088,0.195312500007431,1956.31295166354,951.208993837896,23.5234293951175,30.8326625343517,0.44194173825,7.64297917957749,52.4770196823542,37.5229803176458,135,0,0,0,1,0,1,PASS,3.74999999994608,3.74999999994608,31.3654849166758,29.9657185007645,2,11,32,64,4,4,192,37.5229803176458,1.63984393688748,37.5229803176458,1.63984393688748,22.5073621714976,PASS,PASS,PASS,PASS,689.245807016818,524.434355262614,7c4fb682565df9221968a1295bd1f8cba94899d92e72063b53d4dbb0b5885b2a,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,PASS_CURRENT_WORKTREE,,
MESH_L1,1,0.5,QUALITY_CONTROLLED_V2,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,0.4,farfield,640,899.320777071722,1149.74841990084,1024.53459848628,31.9839217880114,32.0076141672923,17.222895990317,3.92729408680788,2.69128087163261,87.3087191283674,92.6912808716326,1.70754729250319e-06,0,0,1,0,1,PASS,3.74999999994608,3.74999999994608,31.3654849166758,29.9657185007645,2,11,32,64,4,4,192,37.5229803176458,1.63984393688748,37.5229803176458,1.63984393688748,22.5073621714976,PASS,PASS,PASS,PASS,689.245807016818,524.434355262614,7c4fb682565df9221968a1295bd1f8cba94899d92e72063b53d4dbb0b5885b2a,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,PASS_CURRENT_WORKTREE,,
MESH_L2,2,0.5,QUALITY_CONTROLLED_V2,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,0.4,body,300,0.466784818516517,0.608129616389175,0.519585775432755,0.720984429031345,0.720822984811636,0.557360828109397,1.40768945026193,29.5094893500022,65.2486095720126,119.509489350002,6.49915624280425,0,0,1,0,1,PASS,3.00000000001295,3.00000000001295,25.1069106471923,23.5444931077435,3,14,40,80,7,7,380,37.7564036671669,1.63191216684896,37.7564036671669,1.63191216684896,17.8851363831663,PASS,PASS,PASS,PASS,689.245807016818,524.434355262614,1a783d127d6f84c1b755e5edb293c9c51c65ba4d0060c82c6d067dfec38413e9,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,PASS_CURRENT_WORKTREE,,
MESH_L2,2,0.5,QUALITY_CONTROLLED_V2,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,0.4,free_surface,2000,3.05047206555219,1244.36146702743,827.038756586017,25.6107701207066,28.7568902833932,0.784590956591433,7.50215539383532,52.2435963328331,37.7564036671669,99.9871926359353,0,0,0,1,0,1,PASS,3.00000000001295,3.00000000001295,25.1069106471923,23.5444931077435,3,14,40,80,7,7,380,37.7564036671669,1.63191216684896,37.7564036671669,1.63191216684896,17.8851363831663,PASS,PASS,PASS,PASS,689.245807016818,524.434355262614,1a783d127d6f84c1b755e5edb293c9c51c65ba4d0060c82c6d067dfec38413e9,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,PASS_CURRENT_WORKTREE,,
MESH_L2,2,0.5,QUALITY_CONTROLLED_V2,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,0.4,bottom,1820,0.105841953572747,1244.36146702743,631.536493360616,17.9117571629611,25.1303898370204,0.351789605565353,7.50215539383532,52.2435963328331,37.7564036671669,135,0,0,0,1,0,1,PASS,3.00000000001295,3.00000000001295,25.1069106471923,23.5444931077435,3,14,40,80,7,7,380,37.7564036671669,1.63191216684896,37.7564036671669,1.63191216684896,17.8851363831663,PASS,PASS,PASS,PASS,689.245807016818,524.434355262614,1a783d127d6f84c1b755e5edb293c9c51c65ba4d0060c82c6d067dfec38413e9,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,PASS_CURRENT_WORKTREE,,
MESH_L2,2,0.5,QUALITY_CONTROLLED_V2,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,0.4,farfield,1120,511.903489017531,659.627942944461,585.765715980993,24.1840326447538,24.2023126588883,12.3020685645122,4.39920542700438,2.15305096996528,87.8469490300347,92.1530509699653,1.70754729250319e-06,0,0,1,0,1,PASS,3.00000000001295,3.00000000001295,25.1069106471923,23.5444931077435,3,14,40,80,7,7,380,37.7564036671669,1.63191216684896,37.7564036671669,1.63191216684896,17.8851363831663,PASS,PASS,PASS,PASS,689.245807016818,524.434355262614,1a783d127d6f84c1b755e5edb293c9c51c65ba4d0060c82c6d067dfec38413e9,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,PASS_CURRENT_WORKTREE,,
MESH_L3,3,0.5,QUALITY_CONTROLLED_V2,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,0.4,body,588,0.234131195130669,0.312429588071844,0.261403662059209,0.515651584165798,0.511276502549461,0.397414634867714,1.41088028264537,29.7422934746887,63.7439059459357,119.742293474689,5.01605271391314,0,0,1,0,1,PASS,2.49999999998807,2.49999999998807,17.942543124655,17.3485738688636,4,19,56,112,12,12,868,38.0195611595752,1.62292121046737,38.0195611595752,1.62292121046737,12.6733720911361,PASS,PASS,PASS,PASS,689.245807016818,524.434355262614,ab870123c397381b2a81d173d557abd89a450a0b2cda9a77ee70dc0be4c94f9e,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,PASS_CURRENT_WORKTREE,,
MESH_L3,3,0.5,QUALITY_CONTROLLED_V2,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,0.4,free_surface,3696,1.74944493785932,662.266770592071,447.014927317478,18.9301543857168,21.1418490626988,0.560704471902171,7.73516831844286,51.9804388404248,38.0195611595752,100.746591904438,0,0,0,1,0,1,PASS,2.49999999998807,2.49999999998807,17.942543124655,17.3485738688636,4,19,56,112,12,12,868,38.0195611595752,1.62292121046737,38.0195611595752,1.62292121046737,12.6733720911361,PASS,PASS,PASS,PASS,689.245807016818,524.434355262614,ab870123c397381b2a81d173d557abd89a450a0b2cda9a77ee70dc0be4c94f9e,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,PASS_CURRENT_WORKTREE,,
